r,t,m,y,TotalAnnualTechnologyActivityByMode
"Atlantis_00A","DIST_IND",1,2054,13.0942538238942
"Atlantis_00A","DIST_IND",1,2055,13.2596114096734
"Atlantis_00A","DIST_OTH",1,2014,3.05911533691608
"Atlantis_00A","DIST_OTH",1,2015,3.25547747002894
"Atlantis_00A","DIST_OTH",1,2016,3.35882596114097
"Atlantis_00A","DIST_OTH",1,2017,3.35882596114097
"Atlantis_00A","DIST_OTH",1,2018,3.20380322447292
"Atlantis_00A","DIST_OTH",1,2019,3.17279867713931
"Atlantis_00A","DIST_OTH",1,2020,2.94543199669285
"Atlantis_00A","DIST_OTH",1,2021,3.93757751136833
"Atlantis_00A","DIST_OTH",1,2022,3.98925175692435
"Atlantis_00A","DIST_OTH",1,2023,4.04092600248036
"Atlantis_00A","DIST_OTH",1,2024,4.09260024803638
"Atlantis_00A","DIST_OTH",1,2025,4.14427449359239
"Atlantis_00A","DIST_OTH",1,2026,4.19594873914841
"Atlantis_00A","DIST_OTH",1,2027,4.25795783381563
"Atlantis_00A","DIST_OTH",1,2028,4.28896238114924
"Atlantis_00A","DIST_OTH",1,2029,4.36130632492765
"Atlantis_00A","DIST_OTH",1,2030,4.43365026870608
"Atlantis_00A","DIST_OTH",1,2031,4.5059942124845
"Atlantis_00A","DIST_OTH",1,2032,4.57833815626292
"Atlantis_00A","DIST_OTH",1,2033,4.64034725093014
"Atlantis_00A","DIST_OTH",1,2034,4.69202149648615
"Atlantis_00A","DIST_OTH",1,2035,4.74369574204217
"Atlantis_00A","DIST_OTH",1,2036,4.79536998759818
"Atlantis_00A","DIST_OTH",1,2037,4.8573790822654
"Atlantis_00A","DIST_OTH",1,2038,4.89871847871021
"Atlantis_00A","DIST_OTH",1,2039,4.91938817693262
"Atlantis_00A","DIST_OTH",1,2040,4.94005787515502
"Atlantis_00A","DIST_OTH",1,2041,4.96072757337743
"Atlantis_00A","DIST_OTH",1,2042,4.97106242248863
"Atlantis_00A","DIST_OTH",1,2043,4.99173212071104
"Atlantis_00A","DIST_OTH",1,2044,5.01240181893344
"Atlantis_00A","DIST_OTH",1,2045,5.03307151715585
"Atlantis_00A","DIST_OTH",1,2046,5.05374121537826
"Atlantis_00A","DIST_OTH",1,2047,5.06407606448946
"Atlantis_00A","DIST_OTH",1,2048,5.08474576271186
"Atlantis_00A","DIST_OTH",1,2049,5.10541546093427
"Atlantis_00A","DIST_OTH",1,2050,5.12608515915668
"Atlantis_00A","DIST_OTH",1,2051,5.13642000826788
"Atlantis_00A","DIST_OTH",1,2052,5.15708970649028
"Atlantis_00A","DIST_OTH",1,2053,5.17775940471269
"Atlantis_00A","DIST_OTH",1,2054,5.1984291029351
"Atlantis_00A","DIST_OTH",1,2055,5.2190988011575
"Atlantis_00A","DIST_RES",1,2014,10.438197602315
"Atlantis_00A","DIST_RES",1,2015,11.1306324927656
"Atlantis_00A","DIST_RES",1,2016,11.7507234394378
"Atlantis_00A","DIST_RES",1,2017,11.9987598181067
"Atlantis_00A","DIST_RES",1,2018,12.3501446878876
"Atlantis_00A","DIST_RES",1,2019,12.6601901612236
"Atlantis_00A","DIST_RES",1,2020,13.5593220338983
"Atlantis_00A","DIST_RES",1,2021,13.5386523356759
"Atlantis_00A","DIST_RES",1,2022,14.0450599421248
"Atlantis_00A","DIST_RES",1,2023,14.3861099627945
"Atlantis_00A","DIST_RES",1,2024,14.7271599834642
"Atlantis_00A","DIST_RES",1,2025,15.0785448532451
"Atlantis_00A","DIST_RES",1,2026,15.4402645721372
"Atlantis_00A","DIST_RES",1,2027,15.8123191401406
"Atlantis_00A","DIST_RES",1,2028,16.1947085572551
"Atlantis_00A","DIST_RES",1,2029,16.5874328234808
"Atlantis_00A","DIST_RES",1,2030,16.4850149897114
"Atlantis_00A","DIST_RES",1,2031,16.919078652382
"Atlantis_00A","DIST_RES",1,2032,17.3738120132749
"Atlantis_00A","DIST_RES",1,2033,17.8285453741678
"Atlantis_00A","DIST_RES",1,2034,18.3039484332832
"Atlantis_00A","DIST_RES",1,2035,18.6656681521753
"Atlantis_00A","DIST_RES",1,2036,19.213415155069
"Atlantis_00A","DIST_RES",1,2037,19.771497007074
"Atlantis_00A","DIST_RES",1,2038,20.3399137081902
"Atlantis_00A","DIST_RES",1,2039,20.9290001075287
"Atlantis_00A","DIST_RES",1,2040,21.3733986193105
"Atlantis_00A","DIST_RES",1,2041,22.25093013642
"Atlantis_00A","DIST_RES",1,2042,22.8813559322034
"Atlantis_00A","DIST_RES",1,2043,23.5324514262092
"Atlantis_00A","DIST_RES",1,2044,24.2042166184374
"Atlantis_00A","DIST_RES",1,2045,24.896651508888
"Atlantis_00A","DIST_RES",1,2046,25.609756097561
"Atlantis_00A","DIST_RES",1,2047,26.3331955353452
"Atlantis_00A","DIST_RES",1,2048,27.087639520463
"Atlantis_00A","DIST_RES",1,2049,27.8627532038032
"Atlantis_00A","DIST_RES",1,2050,27.800744109136
"Atlantis_00A","DIST_RES",1,2051,28.5965274906986
"Atlantis_00A","DIST_RES",1,2052,29.4129805704837
"Atlantis_00A","DIST_RES",1,2053,30.2501033484911
"Atlantis_00A","DIST_RES",1,2054,31.107895824721
"Atlantis_00A","DIST_RES",1,2055,31.9966928482844
"Atlantis_00A","DIST_SER",1,2014,6.50062009094667
"Atlantis_00A","DIST_SER",1,2015,7.02769739561802
"Atlantis_00A","DIST_SER",1,2016,7.44109136006614
"Atlantis_00A","DIST_SER",1,2017,7.74080198429103
"Atlantis_00A","DIST_SER",1,2018,8.10252170318313
"Atlantis_00A","DIST_SER",1,2019,8.3402232327408
"Atlantis_00A","DIST_SER",1,2020,7.6477883422902
"Atlantis_00A","DIST_SER",1,2021,8.89830508474576
"Atlantis_00A","DIST_SER",1,2022,9.13600661430343
"Atlantis_00A","DIST_SER",1,2023,9.3840429929723
"Atlantis_00A","DIST_SER",1,2024,9.64241422075238
"Atlantis_00A","DIST_SER",1,2025,9.90078544853245
"Atlantis_00A","DIST_SER",1,2026,10.1591566763125
"Atlantis_00A","DIST_SER",1,2027,10.438197602315
"Atlantis_00A","DIST_SER",1,2028,10.5312112443158
"Atlantis_00A","DIST_SER",1,2029,10.7275733774287
"Atlantis_00A","DIST_SER",1,2030,10.9239355105415
"Atlantis_00A","DIST_SER",1,2031,11.1306324927656
"Atlantis_00A","DIST_SER",1,2032,11.3373294749897
"Atlantis_00A","DIST_SER",1,2033,11.5130219098801
"Atlantis_00A","DIST_SER",1,2034,11.6680446465482
"Atlantis_00A","DIST_SER",1,2035,11.8230673832162
"Atlantis_00A","DIST_SER",1,2036,11.9884249689955
"Atlantis_00A","DIST_SER",1,2037,12.1537825547747
"Atlantis_00A","DIST_SER",1,2038,12.2881355932203
"Atlantis_00A","DIST_SER",1,2039,12.4018189334436
"Atlantis_00A","DIST_SER",1,2040,12.5155022736668
"Atlantis_00A","DIST_SER",1,2041,12.62918561389
"Atlantis_00A","DIST_SER",1,2042,12.7532038032245
"Atlantis_00A","DIST_SER",1,2043,12.8668871434477
"Atlantis_00A","DIST_SER",1,2044,12.9805704836709
"Atlantis_00A","DIST_SER",1,2045,13.1045886730054
"Atlantis_00A","DIST_SER",1,2046,13.2182720132286
"Atlantis_00A","DIST_SER",1,2047,13.342290202563
"Atlantis_00A","DIST_SER",1,2048,13.4146341463415
"Atlantis_00A","DIST_SER",1,2049,13.5386523356759
"Atlantis_00A","DIST_SER",1,2050,13.6626705250103
"Atlantis_00A","DIST_SER",1,2051,13.7866887143448
"Atlantis_00A","DIST_SER",1,2052,13.9107069036792
"Atlantis_00A","DIST_SER",1,2053,14.0450599421248
"Atlantis_00A","DIST_SER",1,2054,14.1690781314593
"Atlantis_00A","DIST_SER",1,2055,14.3034311699049
"Atlantis_00A","DIST_TRA",1,2014,0.010334849111203
"Atlantis_00A","DIST_TRA",1,2015,0.0310045473336089
"Atlantis_00A","DIST_TRA",1,2016,0.0310045473336089
"Atlantis_00A","DIST_TRA",1,2017,0.0516742455560149
