r,t,y,DiscountedTechnologyEmissionsPenalty
"Atlantis_00A","CONS_NG",2046,0.214344081258282
"Atlantis_00A","CONS_NG",2047,0.142475886500248
"Atlantis_00A","CONS_NG",2048,0.0842881097969091
"Atlantis_00A","CONS_NG",2049,0.0374854864524216
"Atlantis_00A","CONS_NG",2050,0
"Atlantis_00A","CONS_NG",2051,0
"Atlantis_00A","CONS_NG",2052,0
"Atlantis_00A","CONS_NG",2053,0
"Atlantis_00A","CONS_NG",2054,0
"Atlantis_00A","CONS_NG",2055,0
"Atlantis_00A","DIST_IND",2014,0
"Atlantis_00A","DIST_IND",2015,0
"Atlantis_00A","DIST_IND",2016,0
"Atlantis_00A","DIST_IND",2017,0
"Atlantis_00A","DIST_IND",2018,0
"Atlantis_00A","DIST_IND",2019,0
"Atlantis_00A","DIST_IND",2020,0
"Atlantis_00A","DIST_IND",2021,0
"Atlantis_00A","DIST_IND",2022,0
"Atlantis_00A","DIST_IND",2023,0
"Atlantis_00A","DIST_IND",2024,0
"Atlantis_00A","DIST_IND",2025,0
"Atlantis_00A","DIST_IND",2026,0
"Atlantis_00A","DIST_IND",2027,0
"Atlantis_00A","DIST_IND",2028,0
"Atlantis_00A","DIST_IND",2029,0
"Atlantis_00A","DIST_IND",2030,0
"Atlantis_00A","DIST_IND",2031,0
"Atlantis_00A","DIST_IND",2032,0
"Atlantis_00A","DIST_IND",2033,0
"Atlantis_00A","DIST_IND",2034,0
"Atlantis_00A","DIST_IND",2035,0
"Atlantis_00A","DIST_IND",2036,0
"Atlantis_00A","DIST_IND",2037,0
"Atlantis_00A","DIST_IND",2038,0
"Atlantis_00A","DIST_IND",2039,0
"Atlantis_00A","DIST_IND",2040,0
"Atlantis_00A","DIST_IND",2041,0
"Atlantis_00A","DIST_IND",2042,0
"Atlantis_00A","DIST_IND",2043,0
"Atlantis_00A","DIST_IND",2044,0
"Atlantis_00A","DIST_IND",2045,0
"Atlantis_00A","DIST_IND",2046,0
"Atlantis_00A","DIST_IND",2047,0
"Atlantis_00A","DIST_IND",2048,0
"Atlantis_00A","DIST_IND",2049,0
"Atlantis_00A","DIST_IND",2050,0
"Atlantis_00A","DIST_IND",2051,0
"Atlantis_00A","DIST_IND",2052,0
"Atlantis_00A","DIST_IND",2053,0
