r,t,m,y,TotalAnnualTechnologyActivityByMode
"Atlantis_00A","DIST_OTH",1,2049,11.1409673418768
"Atlantis_00A","DIST_OTH",1,2050,11.4303431169905
"Atlantis_00A","DIST_OTH",1,2051,11.7300537412154
"Atlantis_00A","DIST_OTH",1,2052,12.0194295163291
"Atlantis_00A","DIST_OTH",1,2053,12.3088052914427
"Atlantis_00A","DIST_OTH",1,2054,12.5981810665564
"Atlantis_00A","DIST_OTH",1,2055,12.8875568416701
"Atlantis_00A","DIST_RES",1,2014,10.438197602315
"Atlantis_00A","DIST_RES",1,2015,11.1306324927656
"Atlantis_00A","DIST_RES",1,2016,11.7507234394378
"Atlantis_00A","DIST_RES",1,2017,11.9987598181067
"Atlantis_00A","DIST_RES",1,2018,12.3501446878876
"Atlantis_00A","DIST_RES",1,2019,12.6601901612236
"Atlantis_00A","DIST_RES",1,2020,13.5593220338983
"Atlantis_00A","DIST_RES",1,2021,13.5386523356759
"Atlantis_00A","DIST_RES",1,2022,14.0450599421248
"Atlantis_00A","DIST_RES",1,2023,14.3861099627945
"Atlantis_00A","DIST_RES",1,2024,14.7271599834642
"Atlantis_00A","DIST_RES",1,2025,15.0785448532451
"Atlantis_00A","DIST_RES",1,2026,17.2281934683754
"Atlantis_00A","DIST_RES",1,2027,19.3881769326168
"Atlantis_00A","DIST_RES",1,2028,21.537825547747
"Atlantis_00A","DIST_RES",1,2029,23.6978090119884
"Atlantis_00A","DIST_RES",1,2030,25.8474576271186
"Atlantis_00A","DIST_RES",1,2031,28.0074410913601
"Atlantis_00A","DIST_RES",1,2032,30.1570897064903
"Atlantis_00A","DIST_RES",1,2033,32.3170731707317
"Atlantis_00A","DIST_RES",1,2034,34.4770566349731
"Atlantis_00A","DIST_RES",1,2035,36.6267052501034
"Atlantis_00A","DIST_RES",1,2036,38.7763538652336
"Atlantis_00A","DIST_RES",1,2037,40.936337329475
"Atlantis_00A","DIST_RES",1,2038,43.0963207937165
"Atlantis_00A","DIST_RES",1,2039,45.2459694088467
"Atlantis_00A","DIST_RES",1,2040,47.3956180239769
"Atlantis_00A","DIST_RES",1,2041,49.5556014882183
"Atlantis_00A","DIST_RES",1,2042,51.7155849524597
"Atlantis_00A","DIST_RES",1,2043,53.8652335675899
