r,t,y,TotalCapacityAnnual
"Atlantis_00A","CONS_HF",2055,0
"Atlantis_00A","CONS_NG",2014,62.107048680086
"Atlantis_00A","CONS_NG",2015,63.4675127774402
"Atlantis_00A","CONS_NG",2016,65.0375127774402
"Atlantis_00A","CONS_NG",2017,65.6189922205497
"Atlantis_00A","CONS_NG",2018,67.7013209643164
"Atlantis_00A","CONS_NG",2019,68.1646645413987
"Atlantis_00A","CONS_NG",2020,54.71
"Atlantis_00A","CONS_NG",2021,66.5709800943959
"Atlantis_00A","CONS_NG",2022,70.6109800943958
"Atlantis_00A","CONS_NG",2023,71.9591988254862
"Atlantis_00A","CONS_NG",2024,74.5705453379069
"Atlantis_00A","CONS_NG",2025,76.0605453379068
"Atlantis_00A","CONS_NG",2026,73.4248189199216
"Atlantis_00A","CONS_NG",2027,70.4848189199216
"Atlantis_00A","CONS_NG",2028,67.5458123695216
"Atlantis_00A","CONS_NG",2029,82.4201739918925
"Atlantis_00A","CONS_NG",2030,100.787341487429
"Atlantis_00A","CONS_NG",2031,100.386736701016
"Atlantis_00A","CONS_NG",2032,100.179544396308
"Atlantis_00A","CONS_NG",2033,50.176396871205
"Atlantis_00A","CONS_NG",2034,47.19
"Atlantis_00A","CONS_NG",2035,44.25
"Atlantis_00A","CONS_NG",2036,41.3
"Atlantis_00A","CONS_NG",2037,38.35
"Atlantis_00A","CONS_NG",2038,36.6577977600288
"Atlantis_00A","CONS_NG",2039,36.676749404799
"Atlantis_00A","CONS_NG",2040,33.7028571428571
"Atlantis_00A","CONS_NG",2041,29.1351452327378
"Atlantis_00A","CONS_NG",2042,25.9267097703747
"Atlantis_00A","CONS_NG",2043,22.5438526275175
"Atlantis_00A","CONS_NG",2044,20.2285714285714
"Atlantis_00A","CONS_NG",2045,16.8457142857143
"Atlantis_00A","CONS_NG",2046,13.4971428571429
"Atlantis_00A","CONS_NG",2047,8.84
"Atlantis_00A","CONS_NG",2048,5.89
"Atlantis_00A","CONS_NG",2049,2.95
"Atlantis_00A","CONS_NG",2050,0
"Atlantis_00A","CONS_NG",2051,0
"Atlantis_00A","CONS_NG",2052,0
"Atlantis_00A","CONS_NG",2053,0
"Atlantis_00A","CONS_NG",2054,0
"Atlantis_00A","CONS_NG",2055,0
"Atlantis_00A","DIST_IND",2014,7.50310045473336
"Atlantis_00A","DIST_IND",2015,7.85448532451426
"Atlantis_00A","DIST_IND",2016,7.93716411740389
"Atlantis_00A","DIST_IND",2017,8.00950806118231
"Atlantis_00A","DIST_IND",2018,7.69946258784622
"Atlantis_00A","DIST_IND",2019,8.00950806118231
"Atlantis_00A","DIST_IND",2020,6.90367920628359
"Atlantis_00A","DIST_IND",2021,8.17486564696156
"Atlantis_00A","DIST_IND",2022,8.35055808185201
"Atlantis_00A","DIST_IND",2023,8.52625051674246
"Atlantis_00A","DIST_IND",2024,8.6916081025217
"Atlantis_00A","DIST_IND",2025,8.86730053741215
"Atlantis_00A","DIST_IND",2026,10.9756097560976
"Atlantis_00A","DIST_IND",2027,13.1045886730054
"Atlantis_00A","DIST_IND",2028,15.2128978916908
"Atlantis_00A","DIST_IND",2029,17.3315419594874
"Atlantis_00A","DIST_IND",2030,19.4398511781728
"Atlantis_00A","DIST_IND",2031,21.5688300950806
"Atlantis_00A","DIST_IND",2032,23.677139313766
"Atlantis_00A","DIST_IND",2033,25.7854485324514
"Atlantis_00A","DIST_IND",2034,27.904092600248
"Atlantis_00A","DIST_IND",2035,30.0227366680447
"Atlantis_00A","DIST_IND",2036,32.1413807358413
"Atlantis_00A","DIST_IND",2037,34.2496899545267
"Atlantis_00A","DIST_IND",2038,36.3786688714345
"Atlantis_00A","DIST_IND",2039,38.4869780901199
"Atlantis_00A","DIST_IND",2040,40.5952873088053
"Atlantis_00A","DIST_IND",2041,42.7139313766019
"Atlantis_00A","DIST_IND",2042,44.8325754443985
"Atlantis_00A","DIST_IND",2043,46.9512195121951
"Atlantis_00A","DIST_IND",2044,49.0595287308805
"Atlantis_00A","DIST_IND",2045,51.1885076477884
"Atlantis_00A","DIST_IND",2046,53.2968168664738
"Atlantis_00A","DIST_IND",2047,55.4051260851592
"Atlantis_00A","DIST_IND",2048,57.5237701529558
"Atlantis_00A","DIST_IND",2049,59.6424142207524
"Atlantis_00A","DIST_IND",2050,61.761058288549
"Atlantis_00A","DIST_IND",2051,63.8693675072344
"Atlantis_00A","DIST_IND",2052,65.988011575031
"Atlantis_00A","DIST_IND",2053,68.1066556428276
"Atlantis_00A","DIST_IND",2054,70.214964861513
"Atlantis_00A","DIST_IND",2055,72.3336089293096
"Atlantis_00A","DIST_OTH",2014,3.05911533691608
"Atlantis_00A","DIST_OTH",2015,3.25547747002894
"Atlantis_00A","DIST_OTH",2016,3.35882596114097
"Atlantis_00A","DIST_OTH",2017,3.35882596114097
"Atlantis_00A","DIST_OTH",2018,3.20380322447292
"Atlantis_00A","DIST_OTH",2019,3.17279867713931
"Atlantis_00A","DIST_OTH",2020,2.94543199669285
"Atlantis_00A","DIST_OTH",2021,3.93757751136833
"Atlantis_00A","DIST_OTH",2022,3.98925175692435
"Atlantis_00A","DIST_OTH",2023,4.04092600248037
"Atlantis_00A","DIST_OTH",2024,4.09260024803638
