r,t,y,NewCapacity
"Atlantis_00A","CONS_HF",2028,187.37
"Atlantis_00A","CONS_HF",2029,189.32
"Atlantis_00A","CONS_HF",2030,190.43
"Atlantis_00A","CONS_HF",2031,192.88
"Atlantis_00A","CONS_HF",2032,195.39
"Atlantis_00A","CONS_HF",2033,197.94
"Atlantis_00A","CONS_HF",2034,200.54
"Atlantis_00A","CONS_HF",2035,202.71
"Atlantis_00A","CONS_HF",2036,204.52
"Atlantis_00A","CONS_HF",2037,206.37
"Atlantis_00A","CONS_HF",2038,208.23
"Atlantis_00A","CONS_HF",2039,210.13
"Atlantis_00A","CONS_HF",2040,211.8
"Atlantis_00A","CONS_HF",2041,212.4
"Atlantis_00A","CONS_HF",2042,213.02
"Atlantis_00A","CONS_HF",2043,213.62
"Atlantis_00A","CONS_HF",2044,214.25
"Atlantis_00A","CONS_HF",2045,214.87
"Atlantis_00A","CONS_HF",2046,215.48
"Atlantis_00A","CONS_HF",2047,216.1
"Atlantis_00A","CONS_HF",2048,216.73
"Atlantis_00A","CONS_HF",2049,217.36
"Atlantis_00A","CONS_HF",2050,217.86
"Atlantis_00A","CONS_HF",2051,218.49
"Atlantis_00A","CONS_HF",2052,250.434285714286
"Atlantis_00A","CONS_HF",2053,293.026666666667
"Atlantis_00A","CONS_HF",2054,293.893333333333
"Atlantis_00A","CONS_HF",2055,294.76
"Atlantis_00A","CONS_NG",2014,62.107048680086
"Atlantis_00A","CONS_NG",2015,63.4675127774402
"Atlantis_00A","CONS_NG",2016,65.0375127774402
"Atlantis_00A","CONS_NG",2017,65.6189922205497
"Atlantis_00A","CONS_NG",2018,67.7013209643164
"Atlantis_00A","CONS_NG",2019,68.1646645413987
"Atlantis_00A","CONS_NG",2020,54.71
"Atlantis_00A","CONS_NG",2021,66.5709800943959
"Atlantis_00A","CONS_NG",2022,70.6109800943959
"Atlantis_00A","CONS_NG",2023,71.9591988254861
"Atlantis_00A","CONS_NG",2024,74.5705453379068
"Atlantis_00A","CONS_NG",2025,76.0605453379068
"Atlantis_00A","CONS_NG",2026,77.8848189199215
"Atlantis_00A","CONS_NG",2027,79.4348189199216
"Atlantis_00A","CONS_NG",2028,85.0712272353148
"Atlantis_00A","CONS_NG",2029,90.4513093548509
"Atlantis_00A","CONS_NG",2030,83.2146282068353
"Atlantis_00A","CONS_NG",2031,85.5758576835377
"Atlantis_00A","CONS_NG",2032,87.9226967041667
"Atlantis_00A","CONS_NG",2033,86.6592322857413
"Atlantis_00A","CONS_NG",2034,88.8428000585497
"Atlantis_00A","CONS_NG",2035,90.9163740240151
"Atlantis_00A","CONS_NG",2036,100.739766638743
"Atlantis_00A","CONS_NG",2037,103.467637465703
"Atlantis_00A","CONS_NG",2038,106.232420049622
"Atlantis_00A","CONS_NG",2039,108.581986500411
"Atlantis_00A","CONS_NG",2040,103.117083961396
"Atlantis_00A","CONS_NG",2041,103.244865692634
"Atlantis_00A","CONS_NG",2042,103.778248369913
"Atlantis_00A","CONS_NG",2043,104.302241131751
"Atlantis_00A","CONS_NG",2044,114.416064877737
"Atlantis_00A","CONS_NG",2045,114.620078716269
"Atlantis_00A","CONS_NG",2046,114.79939759708
"Atlantis_00A","CONS_NG",2047,115.041743902769
"Atlantis_00A","CONS_NG",2048,115.231759178863
"Atlantis_00A","CONS_NG",2049,115.436738713273
"Atlantis_00A","CONS_NG",2050,116.316145158794
"Atlantis_00A","CONS_NG",2051,116.826772395766
"Atlantis_00A","CONS_NG",2052,116.854953337539
"Atlantis_00A","CONS_NG",2053,112.338855824005
"Atlantis_00A","CONS_NG",2054,114.883069734304
"Atlantis_00A","CONS_NG",2055,115.335278495145
"Atlantis_00A","DIST_IND",2014,7.50310045473336
"Atlantis_00A","DIST_IND",2015,7.85448532451426
"Atlantis_00A","DIST_IND",2016,7.93716411740389
"Atlantis_00A","DIST_IND",2017,8.00950806118231
"Atlantis_00A","DIST_IND",2018,7.69946258784622
"Atlantis_00A","DIST_IND",2019,8.00950806118231
"Atlantis_00A","DIST_IND",2020,6.90367920628359
"Atlantis_00A","DIST_IND",2021,8.17486564696156
"Atlantis_00A","DIST_IND",2022,8.35055808185201
"Atlantis_00A","DIST_IND",2023,8.52625051674246
"Atlantis_00A","DIST_IND",2024,8.6916081025217
"Atlantis_00A","DIST_IND",2025,8.86730053741215
"Atlantis_00A","DIST_IND",2026,9.04299297230261
"Atlantis_00A","DIST_IND",2027,9.22902025630426
"Atlantis_00A","DIST_IND",2028,9.41504754030591
"Atlantis_00A","DIST_IND",2029,9.60107482430756
"Atlantis_00A","DIST_IND",2030,9.69408846630839
"Atlantis_00A","DIST_IND",2031,9.82844150475403
"Atlantis_00A","DIST_IND",2032,9.97312939231087
"Atlantis_00A","DIST_IND",2033,10.1178172798677
"Atlantis_00A","DIST_IND",2034,10.2521703183134
"Atlantis_00A","DIST_IND",2035,10.3761885076478
"Atlantis_00A","DIST_IND",2036,13.7350144687888
"Atlantis_00A","DIST_IND",2037,13.9623811492352
"Atlantis_00A","DIST_IND",2038,14.1897478296817
"Atlantis_00A","DIST_IND",2039,14.4274493592394
"Atlantis_00A","DIST_IND",2040,11.1099627945432
"Atlantis_00A","DIST_IND",2041,11.2443158329888
"Atlantis_00A","DIST_IND",2042,11.3890037205457
"Atlantis_00A","DIST_IND",2043,11.5233567589913
"Atlantis_00A","DIST_IND",2044,11.6680446465482
"Atlantis_00A","DIST_IND",2045,11.812732534105
"Atlantis_00A","DIST_IND",2046,11.9574204216618
"Atlantis_00A","DIST_IND",2047,12.1021083092187
"Atlantis_00A","DIST_IND",2048,12.2467961967755
"Atlantis_00A","DIST_IND",2049,12.4018189334436
"Atlantis_00A","DIST_IND",2050,12.474162877222
"Atlantis_00A","DIST_IND",2051,12.62918561389
