r,rr,l,f,y,Trade
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2034,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2035,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2036,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2037,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2038,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2039,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2040,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2041,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2042,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2043,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2044,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2045,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2046,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2047,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2048,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2049,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2050,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2051,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2052,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2053,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2054,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2055,0
"Atlantis_00A","Atlantis_00A","ID","DS",2014,0
"Atlantis_00A","Atlantis_00A","ID","DS",2015,0
"Atlantis_00A","Atlantis_00A","ID","DS",2016,0
"Atlantis_00A","Atlantis_00A","ID","DS",2017,0
"Atlantis_00A","Atlantis_00A","ID","DS",2018,0
"Atlantis_00A","Atlantis_00A","ID","DS",2019,0
"Atlantis_00A","Atlantis_00A","ID","DS",2020,0
