r,l,t,m,y,RateOfActivity
"Atlantis_00A","ID","CONS_DS",1,2046,140.06
"Atlantis_00A","ID","CONS_DS",1,2047,142.8
"Atlantis_00A","ID","CONS_DS",1,2048,145.7
"Atlantis_00A","ID","CONS_DS",1,2049,148.45
"Atlantis_00A","ID","CONS_DS",1,2050,151.2
"Atlantis_00A","ID","CONS_DS",1,2051,153.95
"Atlantis_00A","ID","CONS_DS",1,2052,156.66
"Atlantis_00A","ID","CONS_DS",1,2053,159.33
"Atlantis_00A","ID","CONS_DS",1,2054,185.108571428571
"Atlantis_00A","ID","CONS_DS",1,2055,329.12
"Atlantis_00A","ID","CONS_HF",1,2014,132.35
"Atlantis_00A","ID","CONS_HF",1,2015,137.22
"Atlantis_00A","ID","CONS_HF",1,2016,143.31
"Atlantis_00A","ID","CONS_HF",1,2017,151.16
"Atlantis_00A","ID","CONS_HF",1,2018,155.86
"Atlantis_00A","ID","CONS_HF",1,2019,158.99
"Atlantis_00A","ID","CONS_HF",1,2020,132.31
"Atlantis_00A","ID","CONS_HF",1,2021,163.81
"Atlantis_00A","ID","CONS_HF",1,2022,176.39
"Atlantis_00A","ID","CONS_HF",1,2023,178.15
"Atlantis_00A","ID","CONS_HF",1,2024,179.92
"Atlantis_00A","ID","CONS_HF",1,2025,181.74
"Atlantis_00A","ID","CONS_HF",1,2026,183.58
"Atlantis_00A","ID","CONS_HF",1,2027,185.46
"Atlantis_00A","ID","CONS_HF",1,2028,187.37
"Atlantis_00A","ID","CONS_HF",1,2029,189.32
"Atlantis_00A","ID","CONS_HF",1,2030,190.43
"Atlantis_00A","ID","CONS_HF",1,2031,192.88
"Atlantis_00A","ID","CONS_HF",1,2032,195.39
"Atlantis_00A","ID","CONS_HF",1,2033,197.94
"Atlantis_00A","ID","CONS_HF",1,2034,200.54
"Atlantis_00A","ID","CONS_HF",1,2035,202.71
"Atlantis_00A","ID","CONS_HF",1,2036,204.52
"Atlantis_00A","ID","CONS_HF",1,2037,206.37
"Atlantis_00A","ID","CONS_HF",1,2038,208.23
"Atlantis_00A","ID","CONS_HF",1,2039,210.13
"Atlantis_00A","ID","CONS_HF",1,2040,211.8
"Atlantis_00A","ID","CONS_HF",1,2041,212.4
"Atlantis_00A","ID","CONS_HF",1,2042,213.02
"Atlantis_00A","ID","CONS_HF",1,2043,213.62
"Atlantis_00A","ID","CONS_HF",1,2044,214.25
"Atlantis_00A","ID","CONS_HF",1,2045,214.87
"Atlantis_00A","ID","CONS_HF",1,2046,215.48
"Atlantis_00A","ID","CONS_HF",1,2047,216.1
"Atlantis_00A","ID","CONS_HF",1,2048,216.73
"Atlantis_00A","ID","CONS_HF",1,2049,217.36
"Atlantis_00A","ID","CONS_HF",1,2050,217.86
"Atlantis_00A","ID","CONS_HF",1,2051,218.49
"Atlantis_00A","ID","CONS_HF",1,2052,250.434285714286
"Atlantis_00A","ID","CONS_HF",1,2053,293.026666666667
"Atlantis_00A","ID","CONS_HF",1,2054,293.893333333333
"Atlantis_00A","ID","CONS_HF",1,2055,294.76
"Atlantis_00A","ID","CONS_NG",1,2014,62.107048680086
"Atlantis_00A","ID","CONS_NG",1,2015,63.4675127774402
"Atlantis_00A","ID","CONS_NG",1,2016,65.0375127774402
"Atlantis_00A","ID","CONS_NG",1,2017,65.6189922205497
"Atlantis_00A","ID","CONS_NG",1,2018,67.7013209643164
"Atlantis_00A","ID","CONS_NG",1,2019,68.1646645413987
"Atlantis_00A","ID","CONS_NG",1,2020,54.71
"Atlantis_00A","ID","CONS_NG",1,2021,66.5709800943958
"Atlantis_00A","ID","CONS_NG",1,2022,70.6109800943959
"Atlantis_00A","ID","CONS_NG",1,2023,71.9591988254862
"Atlantis_00A","ID","CONS_NG",1,2024,74.5705453379068
"Atlantis_00A","ID","CONS_NG",1,2025,76.0605453379068
"Atlantis_00A","ID","CONS_NG",1,2026,77.8848189199216
"Atlantis_00A","ID","CONS_NG",1,2027,79.4348189199215
"Atlantis_00A","ID","CONS_NG",1,2028,81.0458123695216
"Atlantis_00A","ID","CONS_NG",1,2029,82.6558123695216
"Atlantis_00A","ID","CONS_NG",1,2030,83.4558123695214
"Atlantis_00A","ID","CONS_NG",1,2031,84.9158123695216
"Atlantis_00A","ID","CONS_NG",1,2032,86.4058123695215
"Atlantis_00A","ID","CONS_NG",1,2033,87.2309215885444
"Atlantis_00A","ID","CONS_NG",1,2034,88.7909215885443
"Atlantis_00A","ID","CONS_NG",1,2035,90.0809215885445
"Atlantis_00A","ID","CONS_NG",1,2036,90.3720547599199
"Atlantis_00A","ID","CONS_NG",1,2037,92.02205475992
"Atlantis_00A","ID","CONS_NG",1,2038,93.6820547599199
"Atlantis_00A","ID","CONS_NG",1,2039,95.4020547599199
"Atlantis_00A","ID","CONS_NG",1,2040,96.09
"Atlantis_00A","ID","CONS_NG",1,2041,98.0109555234689
"Atlantis_00A","ID","CONS_NG",1,2042,100.862647194452
"Atlantis_00A","ID","CONS_NG",1,2043,101.752091413123
"Atlantis_00A","ID","CONS_NG",1,2044,102.642091413123
"Atlantis_00A","ID","CONS_NG",1,2045,103.552091413123
"Atlantis_00A","ID","CONS_NG",1,2046,104.472091413123
"Atlantis_00A","ID","CONS_NG",1,2047,105.392091413123
"Atlantis_00A","ID","CONS_NG",1,2048,106.342091413123
"Atlantis_00A","ID","CONS_NG",1,2049,107.282091413123
"Atlantis_00A","ID","CONS_NG",1,2050,107.842091413123
"Atlantis_00A","ID","CONS_NG",1,2051,108.800616840473
"Atlantis_00A","ID","CONS_NG",1,2052,110.375930723763
"Atlantis_00A","ID","CONS_NG",1,2053,111.355930723763
"Atlantis_00A","ID","CONS_NG",1,2054,112.345930723762
"Atlantis_00A","ID","CONS_NG",1,2055,113.355930723763
"Atlantis_00A","ID","DIST_IND",1,2014,7.50310045473336
"Atlantis_00A","ID","DIST_IND",1,2015,7.85448532451426
"Atlantis_00A","ID","DIST_IND",1,2016,7.93716411740389
"Atlantis_00A","ID","DIST_IND",1,2017,8.00950806118231
"Atlantis_00A","ID","DIST_IND",1,2018,7.69946258784622
"Atlantis_00A","ID","DIST_IND",1,2019,8.00950806118231
"Atlantis_00A","ID","DIST_IND",1,2020,6.90367920628359
"Atlantis_00A","ID","DIST_IND",1,2021,8.17486564696156
"Atlantis_00A","ID","DIST_IND",1,2022,8.35055808185201
"Atlantis_00A","ID","DIST_IND",1,2023,8.52625051674246
"Atlantis_00A","ID","DIST_IND",1,2024,8.6916081025217
"Atlantis_00A","ID","DIST_IND",1,2025,8.86730053741215
"Atlantis_00A","ID","DIST_IND",1,2026,9.0429929723026
"Atlantis_00A","ID","DIST_IND",1,2027,9.22902025630426
"Atlantis_00A","ID","DIST_IND",1,2028,9.41504754030591
"Atlantis_00A","ID","DIST_IND",1,2029,9.60107482430756
"Atlantis_00A","ID","DIST_IND",1,2030,9.69408846630839
"Atlantis_00A","ID","DIST_IND",1,2031,9.82844150475403
"Atlantis_00A","ID","DIST_IND",1,2032,9.97312939231087
"Atlantis_00A","ID","DIST_IND",1,2033,10.1178172798677
"Atlantis_00A","ID","DIST_IND",1,2034,10.2521703183134
"Atlantis_00A","ID","DIST_IND",1,2035,10.3761885076478
"Atlantis_00A","ID","DIST_IND",1,2036,13.7350144687888
"Atlantis_00A","ID","DIST_IND",1,2037,13.9623811492352
