r,t,y,CapitalInvestment
"Atlantis_00A","CONS_NG",2018,0.00677013209643164
"Atlantis_00A","CONS_NG",2019,0.00681646645413987
"Atlantis_00A","CONS_NG",2020,0.005471
"Atlantis_00A","CONS_NG",2021,0.00665709800943959
"Atlantis_00A","CONS_NG",2022,0.00706109800943959
"Atlantis_00A","CONS_NG",2023,0.00719591988254862
"Atlantis_00A","CONS_NG",2024,0.00745705453379068
"Atlantis_00A","CONS_NG",2025,0.00760605453379068
"Atlantis_00A","CONS_NG",2026,0.00778848189199216
"Atlantis_00A","CONS_NG",2027,0.00794348189199215
"Atlantis_00A","CONS_NG",2028,0.00810458123695216
"Atlantis_00A","CONS_NG",2029,0.00826558123695216
"Atlantis_00A","CONS_NG",2030,0.00834558123695214
"Atlantis_00A","CONS_NG",2031,0.00849158123695216
"Atlantis_00A","CONS_NG",2032,0.00864058123695215
"Atlantis_00A","CONS_NG",2033,0.00872309215885444
"Atlantis_00A","CONS_NG",2034,0.00887909215885443
"Atlantis_00A","CONS_NG",2035,0.00900809215885445
"Atlantis_00A","CONS_NG",2036,0.00903720547599199
"Atlantis_00A","CONS_NG",2037,0.009202205475992
"Atlantis_00A","CONS_NG",2038,0.00936820547599199
"Atlantis_00A","CONS_NG",2039,0.00954020547599199
"Atlantis_00A","CONS_NG",2040,0.009609
"Atlantis_00A","CONS_NG",2041,0.0098010955523469
"Atlantis_00A","CONS_NG",2042,0.0100862647194452
"Atlantis_00A","CONS_NG",2043,0.0101752091413123
"Atlantis_00A","CONS_NG",2044,0.0102642091413123
"Atlantis_00A","CONS_NG",2045,0.0103552091413123
"Atlantis_00A","CONS_NG",2046,0.0104472091413123
"Atlantis_00A","CONS_NG",2047,0.0105392091413123
"Atlantis_00A","CONS_NG",2048,0.0106342091413123
"Atlantis_00A","CONS_NG",2049,0.0107282091413123
"Atlantis_00A","CONS_NG",2050,0.0107842091413123
"Atlantis_00A","CONS_NG",2051,0.0108800616840473
"Atlantis_00A","CONS_NG",2052,0.0110827137530396
"Atlantis_00A","CONS_NG",2053,0.0111807137530395
"Atlantis_00A","CONS_NG",2054,0.0112797137530395
"Atlantis_00A","CONS_NG",2055,0.0113807137530394
"Atlantis_00A","DIST_IND",2014,0.000750310045473336
"Atlantis_00A","DIST_IND",2015,0.000785448532451426
"Atlantis_00A","DIST_IND",2016,0.000793716411740389
"Atlantis_00A","DIST_IND",2017,0.000800950806118231
"Atlantis_00A","DIST_IND",2018,0.000769946258784622
"Atlantis_00A","DIST_IND",2019,0.000800950806118231
"Atlantis_00A","DIST_IND",2020,0.000690367920628359
"Atlantis_00A","DIST_IND",2021,0.000817486564696156
"Atlantis_00A","DIST_IND",2022,0.000835055808185201
"Atlantis_00A","DIST_IND",2023,0.000852625051674246
"Atlantis_00A","DIST_IND",2024,0.00086916081025217
"Atlantis_00A","DIST_IND",2025,0.000886730053741215
"Atlantis_00A","DIST_IND",2026,0.000904299297230261
"Atlantis_00A","DIST_IND",2027,0.000922902025630426
"Atlantis_00A","DIST_IND",2028,0.000941504754030591
"Atlantis_00A","DIST_IND",2029,0.000960107482430757
"Atlantis_00A","DIST_IND",2030,0.000969408846630839
"Atlantis_00A","DIST_IND",2031,0.000982844150475403
"Atlantis_00A","DIST_IND",2032,0.000997312939231087
"Atlantis_00A","DIST_IND",2033,0.00101178172798677
"Atlantis_00A","DIST_IND",2034,0.00102521703183134
"Atlantis_00A","DIST_IND",2035,0.00103761885076478
